N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer
644,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC35B-NEG,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC35B,NEG
645,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC34B-ROJ,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC34B,ROJ
646,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC33B-ROJ,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC33B,ROJ
647,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC32B-ROJ,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC32B,ROJ
648,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC31B-ROJ,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC31B,ROJ
649,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC30B-ROJ,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC30B,ROJ
650,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC29B-ROJ,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC29B,ROJ
651,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC28B-BLA,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC28B,BLA
652,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC27B-BLA,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC27B,BLA
653,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC26B-BLA,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC26B,BLA
654,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC25B-BLA,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC25B,BLA
655,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC24B-BLA,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC24B,BLA
656,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC23B-BLA,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC23B,BLA
657,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC22B-GRI,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC22B,GRI
658,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC21B-GRI,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC21B,GRI
659,CUE-Bellavista (A)-Bibin (E)(B)/Bibin (E)(A)-F01-PC20B-GRI,CUE,CUE,Bellavista (A),Bibin (E)(B),Bibin (E)(A),F01,PC20B,GRI
660,CUE-Bellavista (A)-Bibin (E)(A)/Bibin (E)(B)-F01-PC19B-GRI,CUE,CUE,Bellavista (A),Bibin (E)(A),Bibin (E)(B),F01,PC19B,GRI
